ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"NormalizedOrderNumber\" Name=\"field_1\" ID=\"{ac7026fb-81d7-44e2-8f83-6029a833546b}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"DeliveryListKey\" Name=\"field_2\" ID=\"{03a8336b-8bd5-4a83-ba93-9dce199bdd5c}\" StaticName=\"field_2\" />","<Field Type=\"Text\" DisplayName=\"AssignmentGroupId\" Name=\"field_3\" ID=\"{0febcc71-d5df-4c11-9eda-36f9c2ba360a}\" StaticName=\"field_3\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"BayKey\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_4\" Title=\"BayKey\" Type=\"Text\" ID=\"{ade01977-2571-4c94-9dad-f966ff612cde}\" StaticName=\"field_4\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"BayDisplayName\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_5\" Title=\"BayDisplayName\" Type=\"Text\" ID=\"{8d665918-ce82-4b35-bad1-c4d2f74dd56e}\" StaticName=\"field_5\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"GlassCategory\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_6\" Title=\"GlassCategory\" Type=\"Choice\" ID=\"{7a0c7513-85d3-4c19-b21f-5add3cc4b760}\" StaticName=\"field_6\"><CHOICES><CHOICE>Tempered</CHOICE><CHOICE>MirrorAnnealed</CHOICE><CHOICE>ManualOversized</CHOICE><CHOICE>ManualException</CHOICE><CHOICE>SDI</CHOICE><CHOICE>Overflow</CHOICE></CHOICES></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"GlassHeader\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_7\" Title=\"GlassHeader\" Type=\"Text\" ID=\"{b0be03cd-cc47-4fec-846a-c84076891658}\" StaticName=\"field_7\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"AssignmentStatus\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_8\" Title=\"AssignmentStatus\" Type=\"Choice\" ID=\"{ded808f8-f24e-49b6-a079-778735c21d6a}\" StaticName=\"field_8\"><CHOICES><CHOICE>PreAssigned</CHOICE><CHOICE>Occupied</CHOICE><CHOICE>Cleared</CHOICE><CHOICE>Cancelled</CHOICE><CHOICE>SDIOverride</CHOICE><CHOICE>ManualException</CHOICE></CHOICES></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"ManualOverride\" Format=\"Dropdown\" Name=\"field_12\" Title=\"ManualOverride\" Type=\"Boolean\" ID=\"{77de4adf-071b-461e-92e5-6ab9c8b599f3}\" StaticName=\"field_12\"><Default>1</Default></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"LastScanStation\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_13\" Title=\"LastScanStation\" Type=\"Text\" ID=\"{a37a6fa1-58e3-49f0-be02-2cf52caa5523}\" StaticName=\"field_13\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Notes\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"field_14\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Notes\" Type=\"Note\" ID=\"{436d6a63-b4ba-446a-a1c1-421f11442841}\" StaticName=\"field_14\" />","<Field DisplayName=\"PreAssignedAt\" FriendlyDisplayFormat=\"Disabled\" Format=\"DateTime\" IsModern=\"TRUE\" Name=\"PreAssignedAt\" Title=\"PreAssignedAt\" Type=\"DateTime\" ID=\"{3ee2436c-35cc-4103-816a-ff8d5f0fcb20}\" StaticName=\"PreAssignedAt\" />","<Field DisplayName=\"OccupiedAt\" FriendlyDisplayFormat=\"Disabled\" Format=\"DateTime\" IsModern=\"TRUE\" Name=\"OccupiedAt\" Title=\"OccupiedAt\" Type=\"DateTime\" ID=\"{ed1fbb96-b6fa-4f03-8b90-a28f94d4bf09}\" StaticName=\"OccupiedAt\" />","<Field DisplayName=\"ClearedAt\" FriendlyDisplayFormat=\"Disabled\" Format=\"DateTime\" IsModern=\"TRUE\" Name=\"ClearedAt\" Title=\"ClearedAt\" Type=\"DateTime\" ID=\"{ad26244c-dc7a-4a2c-a656-075693fe76d2}\" StaticName=\"ClearedAt\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"OrderNumber\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"OrderNumber","NormalizedOrderNumber","DeliveryListKey","AssignmentGroupId","BayKey","BayDisplayName","GlassCategory","GlassHeader","AssignmentStatus","PreAssignedAt","OccupiedAt","ClearedAt","ManualOverride","LastScanStation","Notes"
"231874","231874","DL_2026_04_01","DL_2026_04_01-231874","M-BAY17-01","17--1","MirrorAnnealed","1/4"" Mirror","PreAssigned","2026-05-22T15:10:13Z",,,"False","Outbound - Airport Rd",
"231862","231862","DL_2026_04_01","DL_2026_04_01-231862","M-BAY17-02","17--2","MirrorAnnealed","1/4"" Mirror","PreAssigned","2026-05-22T15:10:18Z",,,"False","Outbound - Airport Rd",
"231875","231875","DL_2026_04_01","DL_2026_04_01-231875","M-BAY17-03","17--3","MirrorAnnealed","1/4"" Mirror","PreAssigned","2026-05-22T15:10:23Z",,,"False","Outbound - Airport Rd",
"231856","231856","DL_2026_04_01","DL_2026_04_01-231856","M-BAY17-04","17--4","MirrorAnnealed","1/4"" Mirror","PreAssigned","2026-05-22T15:10:29Z",,,"False","Outbound - Airport Rd",
"231877","231877","DL_2026_04_01","DL_2026_04_01-231877","M-BAY17-05","17--5","MirrorAnnealed","1/4"" Mirror","PreAssigned","2026-05-22T15:10:34Z",,,"False","Outbound - Airport Rd","Possible oversized by reference dimensions; receiving must decide manually."
"231879","231879","DL_2026_04_01","DL_2026_04_01-231879","M-BAY17-06","17--6","MirrorAnnealed","1/4"" Mirror","PreAssigned","2026-05-22T15:10:45Z",,,"False","Outbound - Airport Rd",
"231885","231885","DL_2026_04_01","DL_2026_04_01-231885","M-BAY17-07","17--7","MirrorAnnealed","1/4"" Mirror","Occupied","2026-05-22T15:10:50Z","2026-05-22T15:38:09Z",,"True","Inbound - Indian Trail",
"231860","231860","DL_2026_04_01","DL_2026_04_01-231860","M-BAY17-08","17--8","MirrorAnnealed","1/4"" Mirror","Occupied","2026-05-22T15:10:55Z","2026-05-22T16:35:10Z",,"True","Inbound - Indian Trail",
"231868","231868","DL_2026_04_01","DL_2026_04_01-231868","M-BAY17-09","17--9","MirrorAnnealed","1/4"" Mirror","Occupied","2026-05-22T15:11:00Z","2026-05-22T16:10:50Z",,"True","Inbound - Indian Trail",
"231866","231866","DL_2026_04_01","DL_2026_04_01-231866","M-BAY17-10","17--10","MirrorAnnealed","1/4"" Mirror","Occupied","2026-05-22T15:11:13Z","2026-05-22T16:15:40Z",,"True","Inbound - Indian Trail",
"231886","231886","DL_2026_04_01","DL_2026_04_01-231886","M-BAY17-11","17--11","MirrorAnnealed","3/8"" Clear Annealed","PreAssigned","2026-05-22T15:11:18Z",,,"False","Outbound - Airport Rd",
"231687","231687","DL_2026_04_01","DL_2026_04_01-231687","T-BAY12-01","12--1","Tempered","3/8"" Clear Tempered","PreAssigned","2026-05-22T15:11:24Z",,,"False","Outbound - Airport Rd",
"231857","231857","DL_2026_04_01","DL_2026_04_01-231857","M-BAY17-12","17--12","MirrorAnnealed","1/4"" Mirror","PreAssigned","2026-05-26T13:30:57Z",,,"False","Outbound - Airport Rd",
