ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"BayDisplayName\" Name=\"field_1\" ID=\"{f6ee9189-27eb-42d4-ae9a-11bf1d785a0b}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"MapSection\" Name=\"field_2\" ID=\"{8124203e-4d63-47ce-90ba-2e7526f4989c}\" StaticName=\"field_2\" />","<Field Type=\"Number\" DisplayName=\"BayNumber\" Name=\"field_3\" ID=\"{857e717b-0085-4936-9c4d-5cbc7c08bf16}\" StaticName=\"field_3\" />","<Field Type=\"Number\" DisplayName=\"BaySlot\" Name=\"field_4\" ID=\"{8825d1d5-a3d9-4051-b432-7dabb2185a58}\" StaticName=\"field_4\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"BayCategory\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_5\" Title=\"BayCategory\" Type=\"Choice\" ID=\"{4b222483-0c4c-42f6-b102-2d22a3edc344}\" StaticName=\"field_5\"><CHOICES><CHOICE>Coral</CHOICE><CHOICE>Tempered</CHOICE><CHOICE>MirrorAnnealed</CHOICE><CHOICE>ManualOversized</CHOICE><CHOICE>Ignored</CHOICE><CHOICE>SDI</CHOICE><CHOICE>Overflow</CHOICE><CHOICE>ManualException</CHOICE></CHOICES></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"AutoAssignable\" Format=\"Dropdown\" Name=\"field_6\" Title=\"AutoAssignable\" Type=\"Boolean\" ID=\"{83aaf82f-13a0-4956-847f-eeee8d39b6bf}\" StaticName=\"field_6\"><Default>1</Default></Field>","<Field Type=\"Number\" DisplayName=\"AssignmentPriority\" Name=\"field_7\" ID=\"{d8b5be32-6471-4463-a24c-dcf970ed2e53}\" StaticName=\"field_7\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"BayStatus\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_8\" Title=\"BayStatus\" Type=\"Choice\" ID=\"{e52b3b37-d7ee-4a84-80d0-57bfa3012a2f}\" StaticName=\"field_8\"><CHOICES><CHOICE>Available</CHOICE><CHOICE>ManualHold</CHOICE><CHOICE>OutOfService</CHOICE></CHOICES></Field>","<Field Type=\"Text\" DisplayName=\"SourceCell\" Name=\"field_9\" ID=\"{4a43e5ed-dc06-48cf-957d-5c4d40d1c33c}\" StaticName=\"field_9\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Notes\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"field_10\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Notes\" Type=\"Note\" ID=\"{3a7b8f59-29ba-492a-a3d5-5df310d0198e}\" StaticName=\"field_10\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"BayKey\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"BayKey","BayDisplayName","MapSection","BayNumber","BaySlot","BayCategory","AutoAssignable","AssignmentPriority","BayStatus","SourceCell","Notes"
"Q-BAY01-01","1--1","Bay 1","1","1","Coral","False","101","ManualHold","B3","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-02","1--2","Bay 1","1","2","Coral","False","102","ManualHold","B4","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-03","1--3","Bay 1","1","3","Coral","False","103","ManualHold","B5","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-04","1--4","Bay 1","1","4","Coral","False","104","ManualHold","B6","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-05","1--5","Bay 1","1","5","Coral","False","105","ManualHold","B7","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-06","1--6","Bay 1","1","6","Coral","False","106","ManualHold","B8","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-07","1--7","Bay 1","1","7","Coral","False","107","ManualHold","B9","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-08","1--8","Bay 1","1","8","Coral","False","108","ManualHold","B10","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-09","1--9","Bay 1","1","9","Coral","False","109","ManualHold","B11","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-10","1--10","Bay 1","1","10","Coral","False","110","ManualHold","B12","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-11","1--11","Bay 1","1","11","Coral","False","111","ManualHold","B13","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-12","1--12","Bay 1","1","12","Coral","False","112","ManualHold","B14","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-13","1--13","Bay 1","1","13","Coral","False","113","ManualHold","B15","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-14","1--14","Bay 1","1","14","Coral","False","114","ManualHold","B16","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-15","1--15","Bay 1","1","15","Coral","False","115","ManualHold","B17","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-16","1--16","Bay 1","1","16","Coral","False","116","ManualHold","B18","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-17","1--17","Bay 1","1","17","Coral","False","117","ManualHold","B19","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-18","1--18","Bay 1","1","18","Coral","False","118","ManualHold","B20","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-19","1--19","Bay 1","1","19","Coral","False","119","ManualHold","B21","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-20","1--20","Bay 1","1","20","Coral","False","120","ManualHold","B22","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-21","1--21","Bay 1","1","21","Coral","False","121","ManualHold","B23","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY01-22","1--22","Bay 1","1","22","Coral","False","122","ManualHold","B24","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-01","2--1","Bay 2","2","1","Coral","False","201","ManualHold","B29","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-02","2--2","Bay 2","2","2","Coral","False","202","ManualHold","B30","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-03","2--3","Bay 2","2","3","Coral","False","203","ManualHold","B31","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-04","2--4","Bay 2","2","4","Coral","False","204","ManualHold","B32","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-05","2--5","Bay 2","2","5","Coral","False","205","ManualHold","B33","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-06","2--6","Bay 2","2","6","Coral","False","206","ManualHold","B34","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-07","2--7","Bay 2","2","7","Coral","False","207","ManualHold","B35","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-08","2--8","Bay 2","2","8","Coral","False","208","ManualHold","B36","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-09","2--9","Bay 2","2","9","Coral","False","209","ManualHold","B37","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
